X,Y,id,Nombre,icon_url
-85.7012094763777,10.5228887965004,,C. de Sardinal,./0.png
-85.3832900960561,10.3301153861375,,C. de Catalina,./0.png
-85.19923091186,10.2193071560832,,C. Gordo,./0.png
-85.0873295147856,9.74910782835686,,C. de la Hoz,./0.png
-85.1941416534928,9.91095983862516,,C. de Habana,./0.png
-85.3330118899775,9.94576516598995,,C. de Huacas,./0.png
-85.4974292804457,10.0157387016573,,C. de Quiriodan,./0.png
-85.6779934954863,10.1732298011499,,C. de San Blas,./0.png
-85.5013433153983,11.0145095517534,,C. Hacha,./0.png
-85.4899952632639,10.9905808909561,,C. Orosi,./0.png
-85.4518583777579,10.9247200048932,,C. Cacao,./0.png
-85.4753497278796,10.9619659916236,,M. Gongora,./0.png
-85.3761468216464,10.8368158837987,,V. Rincon de la Vieja,./0.png
-85.1598966089983,10.6855354961909,,V. Miravalles,./0.png
-84.9883419298873,10.6519240072831,,V. Tenorio,./0.png
-84.9607506220234,10.5474738143585,,C. del Arenal,./0.png
-84.8462329307672,10.531965268288,,C. Indio,./0.png
-84.7965419521576,10.5087365631361,,C. Pan de Azucar,./0.png
-84.8719081589706,10.384130394418,,C. de Tilaran,./0.png
-85.0306416192354,10.3876874307266,,M. Pelado,./0.png
