X,Y,id,Nombre,Mar,icon_url
-85.8077019745038,11.063234290331,,B. Salinas,,./0.png
-85.7970052107937,11.0457869516544,,P.Zacate,,./0.png
-85.8127460306447,11.0260266692256,,P. Descartes,,./0.png
-85.8605801405467,10.9952673282525,,B. Santa Elena,,./0.png
-85.8184244619448,10.9258398660857,,B. Elena,,./0.png
-85.7656060120509,10.946549718935,,B. Juanilla,,./0.png
-85.9209326666453,10.9505227106165,,P. Blanca,,./0.png
-85.9240273668422,10.9263748447829,,B. Playa Blanca,,./0.png
-85.9739641992548,10.8955863810942,,P Santa Elena,,./0.png
-85.9344426321478,10.8774892961997,,B. Potrero,,./0.png
-85.9242020234375,10.8577031434596,,B. El Nancite,,./0.png
-85.8634731428006,10.8270105904252,,B. Potrero Grande,,./0.png
-85.7941809993585,10.7136279344306,,B. Murcielago,,./0.png
-85.7429627419224,10.6861093365618,,B. Palmares,,./0.png
-85.7542900327401,10.605172507313,,Viradores Norte,,./0.png
-85.7526930506559,10.5771245033118,,Viradores Sur,,./0.png
-85.7377928874935,10.560392465364,,B. El Coco,,./0.png
-85.8183089217339,10.5415989498195,,P Mica,,./0.png
-85.8472814694711,10.436545462677,,B. Brasilito,,./0.png
-85.7109817487448,9.89525003062367,,P. Guiones,,./0.png
-85.5142835572106,9.83158952160946,,B. Piedra Blanca,,./0.png
-85.3575061053793,9.79460814021343,,P. Quiñones,,./0.png
-85.3040261822109,9.76872456181296,,B. Zamora,,./0.png
-85.2294007206291,9.6885849842525,,B. Carrillo,,./0.png
-85.125447954702,9.54495593896358,,Cabo Blanco,,./0.png
-84.9731526533457,9.70180072222252,,B. Ballena,,./0.png
-84.9459629508801,9.72262396058947,,P. Ballena,,./0.png
-84.9310091572701,9.73649689318671,,B. Tambor,,./0.png
-84.8879609605595,9.87308449507329,,B. Paquera,,./0.png
-85.1454082997647,10.0166440383558,,B. Canjel,,./0.png
-84.8545156763742,9.9936410078031,,Estero,,./0.png
-84.8099915202311,9.98180558109419,,Puntarenas,,./0.png
-84.7616436299598,9.92276896218497,,B. Caldera,,./0.png
-84.7576782189655,9.89664672636143,,P. Caldera,,./0.png
-84.7196613283703,9.64679453898759,,P Herradura,,./0.png
-84.9219887944711,9.54937890397844,,,Golfo Nicoya,./0.png
-86.2277376952723,10.1294556921461,,,Oceano Pacifico,./0.png
